9,78
66,44
43,86
8,70
20,9
53,98
74,76
72,79
51,12
84,45
50,37
18,93
78,65
40,83
55,44
45,22
9,56
89,6
86,83
27,63
16,76
70,35
6,98
45,90
68,78
76,19
36,47
50,4
55,15
75,68
93,75
37,97
41,32
91,37
7,47
80,19
46,13
69,48
33,22
57,67
94,44
16,84
63,70
9,31
77,84
43,81
85,39
90,29
24,68
64,14
84,20
81,0
80,79
78,67
47,71
27,78
56,46
51,57
3,14
24,11
44,67
66,47
86,57
7,77
58,64
57,55
80,30
60,3
35,44
99,21
27,41
100,86
3,23
82,5
86,28
92,29
43,66
12,56
51,79
100,67
41,41
42,82
32,16
33,2
10,9
77,72
70,46
72,16
90,50
94,15
50,70
50,45
16,38
24,30
69,63
61,36
96,8
34,11
34,97
36,91
